game_id,date,home_team,away_team,home_odds,away_odds
CURR_BL_63,2026-10-31,Bayer 04 Leverkusen,VfB Stuttgart,2.0,2.0
CURR_BL_64,2026-11-07,RB Leipzig,FC Augsburg,2.0,2.0
CURR_BL_65,2026-11-07,VfB Stuttgart,SV Werder Bremen,2.0,2.0
CURR_BL_66,2026-11-07,Borussia Dortmund,SV 07 Elversberg,2.0,2.0
CURR_BL_67,2026-11-07,1. FSV Mainz 05,FC Bayern München,2.0,2.0
CURR_BL_68,2026-11-07,Hamburger SV,Borussia Mönchengladbach,2.0,2.0
CURR_BL_69,2026-11-07,SC Paderborn 07,Eintracht Frankfurt,2.0,2.0
CURR_BL_70,2026-11-07,SC Freiburg,1. FC Union Berlin,2.0,2.0
CURR_BL_71,2026-11-07,1. FC Köln,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_72,2026-11-07,TSG 1899 Hoffenheim,FC Schalke 04,2.0,2.0
CURR_BL_73,2026-11-21,Bayer 04 Leverkusen,SC Paderborn 07,2.0,2.0
CURR_BL_74,2026-11-21,1. FC Union Berlin,RB Leipzig,2.0,2.0
CURR_BL_75,2026-11-21,FC Bayern München,1. FC Köln,2.0,2.0
CURR_BL_76,2026-11-21,SV 07 Elversberg,SC Freiburg,2.0,2.0
CURR_BL_77,2026-11-21,FC Schalke 04,VfB Stuttgart,2.0,2.0
CURR_BL_78,2026-11-21,Borussia Mönchengladbach,Borussia Dortmund,2.0,2.0
CURR_BL_79,2026-11-21,SV Werder Bremen,Hamburger SV,2.0,2.0
CURR_BL_80,2026-11-21,FC Augsburg,1. FSV Mainz 05,2.0,2.0
CURR_BL_81,2026-11-21,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_82,2026-11-28,1. FC Köln,SV 07 Elversberg,2.0,2.0
CURR_BL_83,2026-11-28,1. FSV Mainz 05,1. FC Union Berlin,2.0,2.0
CURR_BL_84,2026-11-28,SC Paderborn 07,FC Schalke 04,2.0,2.0
CURR_BL_85,2026-11-28,SV Werder Bremen,Borussia Mönchengladbach,2.0,2.0
CURR_BL_86,2026-11-28,VfB Stuttgart,Eintracht Frankfurt,2.0,2.0
CURR_BL_87,2026-11-28,TSG 1899 Hoffenheim,FC Augsburg,2.0,2.0
CURR_BL_88,2026-11-28,Borussia Dortmund,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_89,2026-11-28,SC Freiburg,RB Leipzig,2.0,2.0
CURR_BL_90,2026-11-28,Hamburger SV,FC Bayern München,2.0,2.0
CURR_BL_91,2026-12-05,1. FC Union Berlin,Hamburger SV,2.0,2.0
CURR_BL_92,2026-12-05,FC Schalke 04,Borussia Dortmund,2.0,2.0
CURR_BL_93,2026-12-05,Bayer 04 Leverkusen,Borussia Mönchengladbach,2.0,2.0
CURR_BL_94,2026-12-05,Eintracht Frankfurt,SV Werder Bremen,2.0,2.0
CURR_BL_95,2026-12-05,RB Leipzig,1. FSV Mainz 05,2.0,2.0
CURR_BL_96,2026-12-05,SV 07 Elversberg,VfB Stuttgart,2.0,2.0
CURR_BL_97,2026-12-05,SC Freiburg,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_98,2026-12-05,FC Bayern München,SC Paderborn 07,2.0,2.0
CURR_BL_99,2026-12-05,FC Augsburg,1. FC Köln,2.0,2.0
CURR_BL_100,2026-12-12,SC Paderborn 07,SV 07 Elversberg,2.0,2.0
CURR_BL_101,2026-12-12,SV Werder Bremen,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_102,2026-12-12,VfB Stuttgart,1. FC Union Berlin,2.0,2.0
CURR_BL_103,2026-12-12,Borussia Dortmund,FC Augsburg,2.0,2.0
CURR_BL_104,2026-12-12,Hamburger SV,FC Schalke 04,2.0,2.0
CURR_BL_105,2026-12-12,1. FSV Mainz 05,SC Freiburg,2.0,2.0
CURR_BL_106,2026-12-12,1. FC Köln,RB Leipzig,2.0,2.0
CURR_BL_107,2026-12-12,TSG 1899 Hoffenheim,FC Bayern München,2.0,2.0
CURR_BL_108,2026-12-12,Borussia Mönchengladbach,Eintracht Frankfurt,2.0,2.0
CURR_BL_109,2026-12-19,FC Schalke 04,Borussia Mönchengladbach,2.0,2.0
CURR_BL_110,2026-12-19,FC Bayern München,SV Werder Bremen,2.0,2.0
CURR_BL_111,2026-12-19,SV 07 Elversberg,Hamburger SV,2.0,2.0
CURR_BL_112,2026-12-19,Bayer 04 Leverkusen,Eintracht Frankfurt,2.0,2.0
CURR_BL_113,2026-12-19,SC Freiburg,VfB Stuttgart,2.0,2.0
CURR_BL_114,2026-12-19,RB Leipzig,Borussia Dortmund,2.0,2.0
CURR_BL_115,2026-12-19,1. FSV Mainz 05,1. FC Köln,2.0,2.0
CURR_BL_116,2026-12-19,1. FC Union Berlin,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_117,2026-12-19,FC Augsburg,SC Paderborn 07,2.0,2.0
CURR_BL_118,2027-01-09,VfB Stuttgart,FC Augsburg,2.0,2.0
CURR_BL_119,2027-01-09,Hamburger SV,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_120,2027-01-09,1. FC Köln,SC Freiburg,2.0,2.0
CURR_BL_121,2027-01-09,Eintracht Frankfurt,FC Schalke 04,2.0,2.0
CURR_BL_122,2027-01-09,TSG 1899 Hoffenheim,SV 07 Elversberg,2.0,2.0
CURR_BL_123,2027-01-09,Borussia Mönchengladbach,FC Bayern München,2.0,2.0
CURR_BL_124,2027-01-09,Borussia Dortmund,1. FSV Mainz 05,2.0,2.0
CURR_BL_125,2027-01-09,SV Werder Bremen,1. FC Union Berlin,2.0,2.0
CURR_BL_126,2027-01-09,SC Paderborn 07,RB Leipzig,2.0,2.0
CURR_BL_127,2027-01-13,1. FSV Mainz 05,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_128,2027-01-13,SC Freiburg,Hamburger SV,2.0,2.0
CURR_BL_129,2027-01-13,FC Schalke 04,SV Werder Bremen,2.0,2.0
CURR_BL_130,2027-01-13,RB Leipzig,VfB Stuttgart,2.0,2.0
CURR_BL_131,2027-01-13,1. FC Union Berlin,SC Paderborn 07,2.0,2.0
CURR_BL_132,2027-01-13,FC Bayern München,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_133,2027-01-13,FC Augsburg,Borussia Mönchengladbach,2.0,2.0
CURR_BL_134,2027-01-13,SV 07 Elversberg,Eintracht Frankfurt,2.0,2.0
CURR_BL_135,2027-01-13,1. FC Köln,Borussia Dortmund,2.0,2.0
CURR_BL_136,2027-01-16,SV Werder Bremen,SV 07 Elversberg,2.0,2.0
CURR_BL_137,2027-01-16,Eintracht Frankfurt,FC Bayern München,2.0,2.0
CURR_BL_138,2027-01-16,SC Paderborn 07,1. FC Köln,2.0,2.0
CURR_BL_139,2027-01-16,TSG 1899 Hoffenheim,RB Leipzig,2.0,2.0
CURR_BL_140,2027-01-16,Bayer 04 Leverkusen,FC Schalke 04,2.0,2.0
CURR_BL_141,2027-01-16,VfB Stuttgart,1. FSV Mainz 05,2.0,2.0
CURR_BL_142,2027-01-16,Hamburger SV,FC Augsburg,2.0,2.0
CURR_BL_143,2027-01-16,Borussia Mönchengladbach,1. FC Union Berlin,2.0,2.0
CURR_BL_144,2027-01-16,Borussia Dortmund,SC Freiburg,2.0,2.0
CURR_BL_145,2027-01-23,SV Werder Bremen,SC Freiburg,2.0,2.0
CURR_BL_146,2027-01-23,Hamburger SV,Borussia Dortmund,2.0,2.0
CURR_BL_147,2027-01-23,SC Paderborn 07,1. FSV Mainz 05,2.0,2.0
CURR_BL_148,2027-01-23,FC Schalke 04,FC Augsburg,2.0,2.0
CURR_BL_149,2027-01-23,TSG 1899 Hoffenheim,1. FC Köln,2.0,2.0
CURR_BL_150,2027-01-23,VfB Stuttgart,FC Bayern München,2.0,2.0
CURR_BL_151,2027-01-23,Borussia Mönchengladbach,RB Leipzig,2.0,2.0
CURR_BL_152,2027-01-23,Eintracht Frankfurt,1. FC Union Berlin,2.0,2.0
CURR_BL_153,2027-01-23,Bayer 04 Leverkusen,SV 07 Elversberg,2.0,2.0
CURR_BL_154,2027-01-30,SV 07 Elversberg,Borussia Mönchengladbach,2.0,2.0
CURR_BL_155,2027-01-30,FC Augsburg,Eintracht Frankfurt,2.0,2.0
CURR_BL_156,2027-01-30,1. FSV Mainz 05,Hamburger SV,2.0,2.0
CURR_BL_157,2027-01-30,RB Leipzig,SV Werder Bremen,2.0,2.0
CURR_BL_158,2027-01-30,1. FC Köln,VfB Stuttgart,2.0,2.0
CURR_BL_159,2027-01-30,1. FC Union Berlin,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_160,2027-01-30,SC Freiburg,SC Paderborn 07,2.0,2.0
CURR_BL_161,2027-01-30,Borussia Dortmund,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_162,2027-01-30,FC Bayern München,FC Schalke 04,2.0,2.0
