season,games,acc,log_loss,def_count,def_hits,def_hit_rate,def_avg_odds,def_profit
2020/21,15,0.4666666666666667,1.0433256673851605,0,0,,,0.0
2021/22,16,0.375,1.0721504214368265,0,0,,,0.0
2022/23,16,0.4375,1.1192945118986553,0,0,,,0.0
2023/24,16,0.75,2.7678598105597425,13,12,0.9230769230769231,1.6923076923076923,9.0
2024/25,16,0.5,2.9311391631838553,9,6,0.6666666666666666,1.0833333333333333,0.7500000000000002
2025/26,14,0.6428571428571429,0.7316538672074027,8,7,0.875,1.7125,5.699999999999999
